Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2001,1,Vancouver Island,Winter,6.4,76.7,128.4,10.0,3,0.0029999999999999996,Low
2001,2,Kamloops,Winter,-3.5,75.4,26.5,11.2,2,0.0545,Low
2001,2,Okanagan,Winter,0.8,77.0,21.6,10.0,2,1.75,Moderate
2001,2,Prince George,Winter,-10.5,77.1,26.8,5.8,1,0.009,Low
2001,2,Vancouver Island,Winter,6.1,82.9,86.3,7.4,3,0.0029999999999999996,Low
2001,3,Cariboo,Spring,-1.5,74.6,21.3,10.5,125,2.800592,Moderate
2001,3,Kamloops,Spring,2.6,60.8,20.3,12.0,201,1.135565,Low
2001,3,Okanagan,Spring,3.1,63.8,19.7,7.7,98,2.88903125,Moderate
2001,3,Prince George,Spring,-2.0,73.0,24.8,5.1,128,2.095234375,Low
2001,3,Vancouver Island,Spring,6.6,76.7,79.7,12.1,35,0.48283333333333334,Low
2001,4,Cariboo,Spring,6.3,65.1,20.8,10.1,125,2.800592,Moderate
2001,4,Kamloops,Spring,9.1,51.3,14.0,9.4,201,1.135565,Low
2001,4,Okanagan,Spring,10.9,39.3,13.0,9.7,98,2.88903125,Moderate
2001,4,Prince George,Spring,4.0,61.6,17.6,9.8,128,2.095234375,Low
2001,4,Vancouver Island,Spring,9.6,62.9,46.3,9.9,35,0.48283333333333334,Low
2001,5,Cariboo,Spring,9.6,55.6,37.2,9.8,125,2.800592,Moderate
2001,5,Kamloops,Spring,16.3,50.4,21.7,12.5,201,1.135565,Low
2001,5,Okanagan,Spring,15.9,42.5,17.1,9.0,98,2.88903125,Moderate
2001,5,Prince George,Spring,10.5,54.3,38.9,8.3,128,2.095234375,Low
2001,5,Vancouver Island,Spring,16.5,67.3,28.3,9.9,35,0.48283333333333334,Low
2001,6,Cariboo,Summer,13.5,48.4,58.2,7.4,74,0.4312702702702703,Low
2001,6,Kamloops,Summer,20.4,37.4,30.0,13.1,485,5.307719587628866,Low
2001,6,Okanagan,Summer,21.1,40.3,29.9,11.7,375,17.420807692307694,Moderate
2001,6,Prince George,Summer,16.6,51.4,54.7,8.1,117,0.910948717948718,Low
2001,6,Vancouver Island,Summer,15.9,64.0,30.6,10.8,218,0.22636842105263158,Low
2001,7,Cariboo,Summer,19.2,42.5,52.6,6.7,74,0.4312702702702703,Low
2001,7,Kamloops,Summer,23.5,40.3,8.6,11.7,485,5.307719587628866,Low
2001,7,Okanagan,Summer,25.4,29.0,20.8,7.7,375,17.420807692307694,Moderate
2001,7,Prince George,Summer,16.9,46.5,53.1,11.8,117,0.910948717948718,Low
2001,7,Vancouver Island,Summer,17.4,72.6,18.2,11.4,218,0.22636842105263158,Low
2001,8,Cariboo,Summer,18.6,52.5,41.3,9.1,74,0.4312702702702703,Low
2001,8,Kamloops,Summer,22.9,34.8,20.4,6.8,485,5.307719587628866,Low
2001,8,Okanagan,Summer,23.7,38.4,25.0,11.6,375,17.420807692307694,Moderate
2001,8,Prince George,Summer,14.8,45.5,71.2,8.5,117,0.910948717948718,Low
2001,8,Vancouver Island,Summer,17.9,67.5,23.4,7.2,218,0.22636842105263158,Low
2001,9,Cariboo,Fall,11.9,59.8,33.5,4.9,75,4.092471698113207,Low
