Region,Year,Month,Season,total_burned_area,fire_count,average_fire_size,worst_case_fire_size,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,risk_worst_case_fire_size
Vancouver Island,2009,6.0,Summer,18.658,275,0.06784727272727273,6.1,17.6,65.8,34.7,12.0,Moderate
Vancouver Island,2009,7.0,Summer,6310.156,626,10.080121405750798,1000.0,17.7,65.1,17.8,7.800000000000001,Extreme
Vancouver Island,2009,8.0,Summer,1191.49,326,3.654877300613497,368.0,17.6,63.8,13.0,10.1,Extreme
Vancouver Island,2009,9.0,Fall,2.62,120,0.021833333333333333,0.8,15.0,64.3,41.1,11.3,Low
Vancouver Island,2009,10.0,Fall,9.063,58,0.15625862068965518,5.0,11.0,76.7,98.4,11.5,Moderate
Vancouver Island,2009,11.0,Fall,0.0,2,0.0,0.0,7.4,78.7,135.1,12.8,Low
Vancouver Island,2010,1.0,Winter,0.0,3,0.0,0.0,3.7000000000000006,82.9,89.90000000000002,10.4,Low
Vancouver Island,2010,2.0,Winter,0.009,1,0.009,0.009,4.0,78.5,117.5,12.0,Low
Vancouver Island,2010,3.0,Spring,0.0,2,0.0,0.0,3.8,81.2,76.3,10.3,Low
Vancouver Island,2010,4.0,Spring,0.527,21,0.025095238095238098,0.5,10.4,68.7,36.4,11.5,Low
Vancouver Island,2010,5.0,Spring,3.941,107,0.03683177570093458,2.46,12.5,63.4,27.6,8.7,Moderate
Vancouver Island,2010,6.0,Summer,0.172,97,0.0017731958762886597,0.1,16.4,67.3,27.6,11.7,Low
Vancouver Island,2010,7.0,Summer,164.996,453,0.36422958057395144,100.3,19.2,62.9,21.0,8.2,High
Vancouver Island,2010,8.0,Summer,4618.818,348,13.27246551724138,4552.6,17.6,62.1,26.8,11.4,Extreme
Vancouver Island,2010,9.0,Fall,5.29,137,0.038613138686131386,4.9,16.1,75.3,31.300000000000004,10.7,Moderate
Vancouver Island,2010,10.0,Fall,12.417,27,0.4598888888888889,12.0,10.5,81.4,86.0,9.9,Moderate
Vancouver Island,2010,11.0,Fall,0.009,5,0.0018,0.009,7.8,85.5,110.9,10.9,Low
Vancouver Island,2010,12.0,Winter,0.0,1,0.0,0.0,2.8,74.0,150.8,12.1,Low
Vancouver Island,2011,1.0,Winter,0.40900000000000003,2,0.20450000000000002,0.4,5.1,74.2,128.3,7.9,Low
Vancouver Island,2011,2.0,Winter,0.109,2,0.0545,0.1,7.8,73.7,122.6,12.4,Low
Vancouver Island,2011,3.0,Spring,0.009,4,0.00225,0.009,6.0,68.5,77.0,10.2,Low
Vancouver Island,2011,4.0,Spring,0.0,16,0.0,0.0,10.4,66.1,27.0,7.9,Low
Vancouver Island,2011,5.0,Spring,12.028,93,0.12933333333333333,9.0,13.7,62.8,28.5,11.8,Moderate
Vancouver Island,2011,6.0,Summer,3.067,121,0.02534710743801653,1.5,18.0,63.9,23.3,11.3,Moderate
Vancouver Island,2011,7.0,Summer,4.297,224,0.01918303571428571,2.0,16.7,65.9,20.0,11.2,Moderate
Vancouver Island,2011,8.0,Summer,5.233,318,0.016455974842767295,2.0,16.1,63.0,18.1,10.1,Moderate
Vancouver Island,2011,9.0,Fall,3.777,229,0.01649344978165939,0.9,16.1,77.0,34.2,9.5,Low
Vancouver Island,2011,10.0,Fall,0.026999999999999996,6,0.0045,0.009,12.4,79.2,110.3,10.9,Low
Vancouver Island,2011,11.0,Fall,0.0,2,0.0,0.0,5.3,76.7,88.3,12.0,Low
Vancouver Island,2012,1.0,Winter,0.0,1,0.0,0.0,3.8,77.4,161.5,11.8,Low
Vancouver Island,2012,2.0,Winter,0.0,1,0.0,0.0,5.9,79.5,104.3,12.9,Low
Vancouver Island,2012,3.0,Spring,1.9,5,0.38,1.9,9.4,75.2,84.2,12.3,Moderate
Vancouver Island,2012,4.0,Spring,0.11800000000000001,6,0.01966666666666667,0.1,9.5,71.0,30.3,12.800000000000002,Low
Vancouver Island,2012,5.0,Spring,6.667,76,0.08772368421052631,2.3,11.6,66.1,26.6,11.6,Moderate
Vancouver Island,2012,6.0,Summer,0.009,6,0.0014999999999999998,0.009,16.2,58.6,27.100000000000005,9.6,Low
Vancouver Island,2012,7.0,Summer,63.572,90,0.7063555555555556,46.0,20.0,65.0,19.4,8.8,High
Vancouver Island,2012,8.0,Summer,502.783,357,1.4083557422969188,313.0,18.1,64.2,25.8,12.5,Extreme
Vancouver Island,2012,9.0,Fall,51.389,252,0.20392460317460318,14.23,14.2,75.3,21.5,8.4,Moderate
Vancouver Island,2012,10.0,Fall,1.93,69,0.02797101449275362,0.7,9.3,72.6,60.10000000000001,11.1,Low
Vancouver Island,2012,11.0,Fall,0.009,3,0.0029999999999999996,0.009,6.7,83.5,145.7,11.4,Low
Vancouver Island,2013,1.0,Winter,0.0,1,0.0,0.0,3.9,78.3,133.1,9.8,Low
Vancouver Island,2013,2.0,Winter,0.009,1,0.009,0.009,5.1,79.4,104.8,9.7,Low
Vancouver Island,2013,4.0,Spring,5.609,12,0.46741666666666665,2.5,12.0,72.6,30.3,12.300000000000002,Moderate
Vancouver Island,2013,5.0,Spring,0.818,52,0.01573076923076923,0.3,13.400000000000002,62.8,33.1,12.2,Low
Vancouver Island,2013,6.0,Summer,6.534999999999999,33,0.198030303030303,4.3,17.0,61.5,28.7,9.5,Moderate
Vancouver Island,2013,7.0,Summer,393.524,205,1.919629268292683,178.0,19.1,63.8,17.2,11.3,Extreme
Vancouver Island,2013,8.0,Summer,7.256,232,0.031275862068965515,0.9,17.5,73.8,14.0,9.1,Low
Vancouver Island,2013,9.0,Fall,0.263,44,0.005977272727272728,0.1,16.0,73.3,37.2,10.1,Low
Vancouver Island,2013,10.0,Fall,335.928,38,8.84021052631579,80.0,11.3,77.1,112.5,11.8,High
Vancouver Island,2013,11.0,Fall,0.009,3,0.0029999999999999996,0.009,8.3,78.1,126.0,10.5,Low
Vancouver Island,2013,12.0,Winter,0.5,1,0.5,0.5,2.9,85.4,129.4,12.2,Low
Vancouver Island,2014,3.0,Spring,0.05,2,0.025,0.05,9.6,73.1,63.4,11.1,Low
